,Predict,Rating
0,3.986372213769136,4.42
1,4.003310897861109,4.31
2,4.0138735165776165,4.12
3,3.9748334153137934,3.82
4,3.9255524302585982,4.13
5,3.9290428301473215,3.91
6,4.031386564218954,4.27
7,3.848220898390748,4.1
8,3.89394239266662,3.56
9,3.8411309813703642,2.77
10,3.9645217999080735,3.73
11,3.967810817005976,4.12
12,4.147208396029559,4.19
13,3.991642192305391,4.0
14,3.9624595866172685,3.71
15,4.3471713269420444,4.3
16,3.973656267240134,4.03
17,3.9935762585098313,4.19
18,3.978094741146946,4.1
19,3.8516355355445278,4.1
20,4.008554496688679,3.89
21,4.088571858533952,3.93
22,3.942971378136906,3.69
23,4.019896990842985,4.14
24,3.8833230708786095,3.95
25,4.216227897861739,4.3
26,3.923161599298237,3.84
27,4.140910994891193,4.5
28,4.1364221104444745,4.33
29,4.067355096341104,3.89
30,3.856437059421701,3.82
31,3.946125793351669,4.16
32,4.060011685586686,3.99
33,3.8455829011969502,3.71
34,3.8665197596018963,3.98
35,4.066092890889193,3.06
36,3.921765570486822,4.05
37,4.021207193144049,3.84
38,3.966596491473478,3.98
39,3.9110436374157764,3.91
40,3.9511282595126493,3.96
41,4.011573502171498,4.32
42,3.9492755093015584,3.77
43,3.955822921897445,3.7
44,4.135914897757971,4.38
45,4.037152378199996,4.17
46,3.964952772206045,3.49
47,3.9908425774865757,3.98
48,4.213321506533488,4.25
49,3.964217367469666,4.15
50,4.014200905049187,3.76
51,3.9734807950995688,3.97
52,3.9423540954805407,4.03
53,3.885142427953583,3.95
54,3.8639250105116716,3.55
55,3.957622491700252,3.64
56,3.8555979114541463,4.04
57,4.105995216138708,4.57
58,3.921815564613473,3.85
59,3.9446729567422976,4.31
60,3.9230318894230845,4.06
61,4.266378300050261,3.84
62,3.9490951748172582,3.93
63,4.0444371516179825,3.97
64,4.049859257085753,4.11
65,3.90819348019669,3.56
66,4.104800276138099,4.35
67,4.170622470014955,4.47
68,4.057136798638464,4.11
69,4.088800771359768,4.14
70,3.874153034234433,4.01
71,3.9644475467845828,4.08
72,4.033658369386794,4.43
73,3.9082522088157017,4.21
74,3.9455157260384404,4.02
75,3.9372442491996935,3.91
76,3.8556049263627337,4.0
77,4.025282094887391,4.25
78,3.8853103358589394,4.18
79,3.8997529883665223,3.98
80,3.9400921607989225,3.65
81,3.8307169450463867,3.79
82,3.794857905979881,4.02
83,3.958989367482487,3.97
84,4.015027024169832,4.64
85,3.9955100700272084,3.97
86,3.965289878060097,3.73
87,4.0133812918019895,3.84
88,4.255831734445273,3.88
89,3.9653383840137826,3.94
90,4.147498545970444,3.33
91,4.636284074025407,4.47
92,3.956228817014038,3.6
93,4.049455104568172,4.06
94,3.995569138001743,3.41
95,4.022326657309889,4.22
96,3.8782913788221256,3.63
97,3.9347365975106436,3.74
98,3.8005730604756938,3.9
99,3.930987613137998,4.04
100,3.7775004923698843,3.3
101,3.9307499062400186,4.11
102,3.9108229697008428,3.97
103,4.126274001300903,3.94
104,3.9966175086910303,4.47
105,4.036832666854375,4.32
106,3.970641658474049,5.0
107,3.9554012681287025,4.33
108,3.855328077076085,3.85
109,4.0628378473622595,4.04
110,4.0891417234334355,3.91
111,3.9419821439330036,4.1
112,4.099972369215549,4.09
113,4.200032656718408,4.04
114,4.082017347371819,4.13
115,4.027893021500275,4.06
116,3.9003580758053626,3.42
117,3.838912323275646,3.77
118,4.000326272794623,4.52
119,3.891667333650596,3.65
120,3.927746197482456,4.04
121,3.98492812293349,4.06
122,4.081141516443368,4.4
123,4.061260774016594,4.57
124,3.9739371833666457,4.1
125,4.045414249416983,3.8
126,3.9827763654140202,4.14
127,4.029492692668817,4.19
128,4.046143760037625,4.36
129,3.9026626471135337,3.92
130,3.908124702214857,3.73
131,4.0016298066172835,3.97
132,3.887195693921008,4.06
133,3.930824779339032,3.83
134,4.064320439262528,4.22
135,4.026808477959261,3.48
136,4.021634346807401,3.79
137,4.023144841872255,4.29
138,3.964103581138655,3.78
139,3.5289659830926388,3.93
140,3.938348288579399,3.83
141,3.9340300389869336,3.45
142,4.178583536308725,4.23
143,3.8407379989192245,3.97
144,4.058918494339109,4.25
145,4.188143509169883,4.71
146,4.077809939498149,4.86
147,3.9224022227412902,3.79
148,3.920601378872856,3.97
149,3.9711516131366205,4.07
150,4.08817905584731,3.96
151,3.9665544277678224,3.86
152,3.9011713973382793,4.03
153,4.172895551602542,4.3
154,3.898487616220282,3.96
155,4.01842633921618,4.05
156,3.943280423283092,3.78
157,3.9550645843477534,3.99
158,4.070480811875294,4.52
159,3.9690844709399062,4.0
160,4.042027155660904,4.32
161,4.114688668253398,5.0
162,4.035120809149193,4.3
163,3.8858319050980024,4.28
164,3.975271041326982,3.92
165,3.8834643300110843,3.8
166,4.017815903372855,4.32
167,3.9821578775825595,3.7
168,3.9099809119988356,3.72
169,4.156338020652399,4.18
170,4.115511182600504,4.03
171,4.06888734400564,3.93
172,4.005142350412226,4.15
173,3.8825601755771464,3.19
174,3.896078434877804,3.89
175,4.049102220362191,3.99
176,3.8392371405604875,3.46
177,3.9181554514213843,3.92
178,3.9803084376341316,3.42
179,4.1085884025719475,4.77
180,3.841793669914389,4.15
181,3.912933605292241,4.02
182,4.008274672539002,3.91
183,4.2558074001387505,4.23
184,3.8920199702114715,4.13
185,4.022778115824842,4.29
186,3.9656214333043387,3.69
187,3.9429499626110465,3.84
188,3.9397928361222014,4.17
189,3.9370747859055237,3.86
190,3.8796161816268304,3.95
191,4.142059784509001,3.85
192,3.9656098282544257,3.58
193,4.0643089575487235,3.63
194,3.9371102264347577,4.21
195,4.315365395182953,3.91
196,3.936621120791182,3.92
197,3.964862140592314,3.69
198,3.9491561192339075,4.04
199,3.9913182270285947,3.26
200,4.002981186843718,4.05
201,3.9732672383590106,3.74
202,4.201674473836032,4.0
203,4.027900057523856,4.56
204,4.244506536940757,4.63
205,3.921408136182361,4.28
206,3.8859010193875916,3.86
207,4.0886576831035875,4.41
208,4.03883514952872,4.18
209,4.05645465345584,3.56
210,3.880401154508168,4.16
211,3.9994922693305393,4.18
212,3.9732553671506157,4.01
213,3.8846348967716944,3.66
214,4.0147981055614,3.96
215,3.8705472761514663,4.05
216,3.9034912921533644,4.37
217,3.9354514696272025,4.29
218,4.178650676158467,4.11
219,3.7911840641254164,3.8
220,4.100527200343585,4.32
221,4.017172349839622,4.36
222,3.9703016331937055,4.34
223,3.925374910375152,3.61
224,3.9634964481627053,5.0
225,3.9496795932968745,3.74
226,4.072514877645003,4.27
227,3.936303905318269,4.05
228,3.962447858072088,4.16
229,3.8983110384632536,4.25
230,3.9132880520185163,4.17
231,3.9285385304355227,3.91
232,4.0129205388062115,4.25
233,3.811263925659283,3.8
234,3.9978252718150165,4.24
235,4.107803856250359,4.1
236,3.9290661192725285,3.67
237,3.927218801944905,3.94
238,4.152303010212046,4.71
239,3.9536421049600214,3.82
240,3.927147763070958,4.06
241,3.877924795312217,4.2
242,3.863706542303924,4.02
243,3.923164462071969,3.9
244,3.967468828056293,3.97
245,3.9765755404762437,3.88
246,3.9368812092140235,3.72
247,4.173927676351284,4.24
248,4.154737545228347,4.16
249,4.000071582285545,4.24
250,3.7947684914998705,3.45
251,3.919516222083246,4.19
252,4.017336454621103,4.07
253,3.8911281999260483,3.99
254,3.873787169190412,4.07
255,4.070310198163532,3.99
256,4.008850928868571,4.08
257,3.9276238567273696,4.33
258,4.020730234103732,3.62
259,4.067964846913458,4.05
260,4.059636337868755,4.45
261,3.9150205400180598,4.11
262,4.014061788787636,4.22
263,4.158236256855614,4.1
264,4.0137112376827675,3.0
265,3.96189202260533,3.74
266,4.033890215300443,4.41
267,3.9638579870756834,3.37
268,3.9208546489594687,4.36
269,3.923777831524222,4.13
270,3.8734763259147336,4.71
271,4.175507989486019,5.0
272,4.111078201154658,4.56
273,3.8511075881749433,3.65
274,3.8664929647473754,4.32
275,4.018944347396888,4.45
276,4.046400609237184,4.3
277,3.9552475129991995,3.63
278,3.8828995057195366,3.78
279,3.964961641335514,3.95
280,3.9194745282664307,3.98
281,4.052198541048967,3.89
282,3.8514874542242623,4.05
283,4.236671210886852,4.33
284,4.119304862215015,3.33
285,3.9825312241058883,3.86
286,4.022662026419851,4.0
287,3.8765041419382316,3.87
288,3.933449705925992,4.44
